Date,SLV_Open,SLV_High,SLV_Low,SLV_Close,SLV_DR,SLV_Adj Close,SLV_Volume,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Adj Close,DJI_Volume,AG_Open,AG_High,AG_Low,AG_Close,AG_Adj Close,AG_Volume,EU_Open,EU_High,EU_Low,OF_Price,OF_Open,OF_High,OF_Low,OF_Vol.,OS_Price,OS_Open,OS_High,OS_Low,GF_Price,GF_Open,GF_High,GF_Low,GF_Vol.,USB_Price,USB_Open,USB_High,USB_Low,PLT_Open,PLT_High,PLT_Low,PLT_Close,PLT_Adj Close,PLT_Volume,PLD_Price,PLD_Open,PLD_High,PLD_Low,RHO_Open,RHO_High,RHO_Low,RHO_Close,RHO_Adj Close,USDI_Price,USDI_Open,USDI_High,USDI_Low,OIL_Open,OIL_High,OIL_Low,OIL_Close,OIL_Adj Close,OIL_Volume
1/4/2010,17.049999,17.25,17.02,17.23,,17.23,9720500,112.370003,113.389999,111.510002,113.330002,91.841896,118944600,10430.69043,10604.96973,10430.69043,10583.95996,10583.95996,179780000,4.08,4.21,4.06,4.1,4.1,68000,1.432706,1.440196,1.432706,81.51,79.63,81.79,79.63,263.54K,81.64,79.64,81.8,79.64,"1,930.05","1,934.60","1,954.45","1,922.35",-,0.677,0.638,0.687,0.635,977.200012,988.599976,977.200012,982.599976,982.599976,8,"2,322.40","2,330.50","2,344.40","2,293.60",206.440002,206.440002,206.440002,207.940002,207.940002,77.53,77.92,78.19,77.26,22.219999,22.219999,22.219999,22.219999,22.219999,400
1/5/2010,17.24,17.549999,17.18,17.51,0.28,17.51,13318600,113.260002,113.68,112.849998,113.629997,92.084984,111579900,10584.55957,10584.55957,10522.51953,10572.01953,10572.01953,188540000,4.1,4.18,4.08,4.15,4.15,57700,1.431004,1.445191,1.426208,81.77,81.63,82,80.95,258.89K,81.47,81.65,82.02,80.97,"1,937.80","1,948.90","1,956.60","1,927.20",303.03K,0.636,0.648,0.669,0.604,982.599976,982.599976,962.099976,962.099976,962.099976,2,"2,331.90","2,271.50","2,413.35","2,263.50",217.910004,231,217.910004,226.910004,226.910004,77.62,77.37,77.71,77.09,22.18,22.299999,22.18,22.280001,22.280001,5900
1/6/2010,17.66,17.9,17.629999,17.860001,0.350001,17.860001,14047000,113.519997,113.989998,113.43,113.709999,92.149803,116074400,10564.71973,10594.99023,10546.54981,10573.67969,10573.67969,186040000,4.23,4.35,4.18,4.28,4.28,85800,1.44271,1.44831,1.435194,83.18,81.43,83.52,80.85,370.06K,83.25,81.45,83.53,80.86,"1,944.70","1,976.80","1,980.40","1,938.90",332.59K,0.648,0.675,0.693,0.643,956.900024,956.900024,956.900024,956.900024,956.900024,0,"2,271.00","2,307.60","2,307.60","2,261.20",231.360001,241.860001,231.360001,244.360001,244.360001,77.49,77.65,78,77.36,22.440001,22.440001,22.440001,22.440001,22.440001,500
1/7/2010,17.860001,18.02,17.799999,17.889999,0.029998,17.889999,12587200,113.5,114.330002,113.18,114.190002,92.538841,131091100,10571.11035,10612.37012,10505.20996,10606.86035,10606.86035,217390000,4.25,4.26,4.11,4.16,4.16,44900,1.436596,1.44346,1.429123,82.66,83.2,83.36,82.26,246.63K,82.69,83.21,83.37,82.27,"1,978.90","1,973.70","2,001.20","1,969.20",304.89K,0.672,0.713,0.731,0.669,952.700012,954.700012,947.400024,950.799988,950.799988,55720,"2,307.60","2,273.90","2,343.60","2,266.40",234.949997,257.940002,234.949997,252.940002,252.940002,77.91,77.37,78.08,77.3,22.58,22.58,22.58,22.58,22.58,500
1/8/2010,18.139999,18.16,17.93,18.15,0.260001,18.15,11736100,113.889999,114.620003,113.660004,114.57,92.846756,126402800,10606.40039,10619.40039,10554.33008,10618.19043,10618.19043,172710000,4.19,4.29,4.15,4.28,4.28,78800,1.4403,1.444481,1.430206,82.75,82.65,83.47,81.8,310.38K,82.91,82.69,83.51,81.84,"1,978.60","1,973.90","1,985.80","1,962.30",245.11K,0.706,0.723,0.749,0.692,951.099976,951.099976,951.099976,951.099976,951.099976,0,"2,273.90","2,233.70","2,318.50","2,224.40",250.919998,250.919998,250.919998,250.919998,250.919998,77.47,77.98,78.19,77.35,22.58,22.58,22.58,22.58,22.58,0
1/11/2010,18.440001,18.450001,18.200001,18.209999,0.059999,18.209999,19132300,115.080002,115.129997,114.239998,114.730003,92.976433,106375700,10620.30957,10676.23047,10591.58984,10663.99023,10663.99023,182050000,4.35,4.4,4.26,4.26,4.26,75300,1.43209,1.443606,1.427104,82.52,82.88,83.95,81.96,296.30K,82.04,82.9,83.97,81.98,"1,974.90","1,937.50","1,983.00","1,928.20",334.10K,0.724,0.724,0.724,0.724,935.200012,935.200012,935.200012,935.200012,935.200012,0,"2,233.70","2,220.50","2,234.20","2,220.50",250.919998,250.919998,250.919998,250.919998,250.919998,77,77.21,77.23,76.79,22.58,22.58,22.58,22.58,22.58,0
1/12/2010,18.16,18.27,17.809999,17.91,-0.299999,17.91,13602000,113.970001,114.209999,113.220001,113.660004,92.109291,163333500,10662.86035,10663.08008,10568.83984,10627.25977,10627.25977,256050000,4.13,4.23,3.92,3.97,3.97,135600,1.446487,1.455435,1.446487,80.79,82.07,82.34,79.91,333.87K,80.11,82.1,82.37,79.94,"1,932.60","1,963.00","1,987.00","1,914.70",467.17K,0.724,0.762,0.789,0.713,938.799988,938.799988,938.799988,938.799988,938.799988,0,"2,193.00","2,149.10","2,201.00","2,149.10",232.910004,240,232.910004,233.910004,233.910004,76.95,77.09,77.31,76.76,22.58,22.58,22.58,22.58,22.58,0
1/13/2010,18.049999,18.27,17.85,18.27,0.36,18.27,15448700,113.949997,114.940002,113.370003,114.620003,92.887291,161822000,10628.08984,10709.25977,10614.49023,10680.76953,10680.76953,202810000,4.01,4.14,3.93,4.09,4.09,41200,1.450894,1.454376,1.445964,79.65,80.06,80.67,78.37,401.63K,79.66,80.1,80.71,78.41,"1,952.50","1,939.00","1,963.40","1,908.40",342.21K,0.754,0.685,0.756,0.649,951.700012,951.700012,951.700012,951.700012,951.700012,0,"2,149.10","2,181.00","2,225.80","2,142.50",232.410004,232.410004,232.410004,228.410004,228.410004,76.85,77.12,77.16,76.6,21.940001,21.940001,21.719999,21.879999,21.879999,5400
1/14/2010,18.219999,18.379999,18.1,18.309999,0.039999,18.309999,8812200,114.489998,115.139999,114.419998,114.93,93.138481,115718800,10680.16016,10723.76953,10666.86035,10710.54981,10710.54981,201320000,4.08,4.15,3.98,4.1,4.1,21900,1.447807,1.457705,1.44586,79.39,79.63,80.36,78.92,275.40K,79.19,79.7,80.43,78.99,"1,923.10","1,935.90","1,944.10","1,919.10",274.11K,0.688,0.687,0.721,0.685,951.299988,951.299988,951.299988,951.299988,951.299988,0,"2,181.00","2,171.00","2,202.60","2,144.65",228.410004,228.410004,228.410004,228.410004,228.410004,76.73,76.79,77.02,76.67,21.879999,21.879999,21.879999,21.879999,21.879999,0
1/15/2010,18.190001,18.200001,18.040001,18.049999,-0.26,18.049999,9979700,114.730003,114.839996,113.199997,113.639999,92.093094,212283100,10706.99023,10709.94043,10561.05957,10609.65039,10609.65039,362930000,4.06,4.06,3.97,4.02,4.02,70400,1.452412,1.455202,1.446257,78,79.2,79.31,77.7,200.56K,77.95,79.21,79.32,77.71,"1,939.20","1,947.90","1,970.30","1,930.80",286.26K,0.688,0.656,0.716,0.654,958.5,959.900024,953.299988,959.5,959.5,67635,"2,171.00","2,174.70","2,201.60","2,134.65",220,220,220,222.389999,222.389999,77.32,76.78,77.41,76.76,21.879999,21.879999,21.879999,21.879999,21.879999,0
